"vpnr" "group" "alter" "sex" "hand" "fach" "sprache" "color" "cs" "rep" "wort" "istwort" "istpositiv" "uspositiv" "istmaskiert" "us0" "us1" "us2" "us3" "us4" "liking0" "liking1" "liking2" "valenz_response" "valenz_rt" "sichtbar_response_pos" "sichtbar_response" "sichtbar_response_text" "sichtbar_korrekt" "sichtbar_rt"
"19" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 8 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 643 0 16 "jaciyn" 0 1325
"20" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 9 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 707 0 5 "botsy" 0 4350
"21" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 0 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 1050 0 16 "jaciyn" 0 1973
"22" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 1 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 1610 0 23 "pimuide" -1 3469
"23" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 2 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 746 0 16 "jaciyn" 0 790
"24" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 3 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 1291 0 5 "botsy" 0 1031
"25" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 4 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 1698 0 19 "furasti" 0 1766
"26" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 5 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 779 0 15 "hiwawa" 0 2917
"27" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 6 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 1386 0 1 "tewok" -1 2398
"28" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 7 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 1066 0 16 "jaciyn" 0 1101
"29" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 8 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 706 0 17 "laumens" -1 1716
"30" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 2 9 "larnist" 0 -1 0 1 17 22 1 18 8 6 6 5 1 1162 0 12 "hilejin" 0 3045
"31" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 0 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 2043 0 14 "uwimor" -1 4653
"32" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 1 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 2467 0 13 "kiwehon" 0 4812
"33" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 2 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 1130 0 6 "nalber" 0 8813
"34" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 3 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 4139 0 7 "obacu" -1 1453
"35" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 4 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 1658 0 14 "uwimor" -1 5982
"36" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 5 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 953 0 14 "uwimor" -1 1813
"37" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 6 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 986 0 10 "sleshen" -1 1078
"38" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 7 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 682 0 13 "kiwehon" 0 1005
"39" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 8 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 947 0 16 "jaciyn" 0 2220
"40" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 3 9 "noste" 0 -1 0 1 0 9 19 10 2 7 8 7 1 850 0 12 "hilejin" 0 1102
"41" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 0 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 1507 0 13 "kiwehon" 0 1822
"42" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 1 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 1082 0 11 "schese" -1 1964
"43" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 2 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 1306 0 12 "hilejin" 0 2251
"44" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 3 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 841 0 10 "sleshen" -1 2492
"45" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 4 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 2042 0 9 "yosud" -1 2166
"46" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 5 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 882 0 12 "hilejin" 0 1077
"47" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 6 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 810 0 6 "nalber" -1 831
"48" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 7 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 818 0 6 "nalber" -1 862
"49" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 8 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 514 0 15 "hiwawa" 0 1735
"50" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 4 9 "medan" 0 -1 0 2 16 11 14 23 20 7 5 7 1 1138 0 15 "hiwawa" 0 1566
"51" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 0 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 1058 0 9 "yosud" -1 3693
"52" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 1 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 2482 0 6 "nalber" -1 1134
"53" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 2 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 1106 0 19 "furasti" -1 1876
"54" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 3 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 1186 0 13 "kiwehon" -1 1804
"55" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 4 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 1554 0 13 "kiwehon" -1 1238
"56" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 5 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 4194 0 10 "sleshen" -1 7388
"57" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 6 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 866 0 6 "nalber" -1 1253
"58" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 7 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 818 0 13 "kiwehon" -1 2158
"59" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 8 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 1578 0 0 "permife" -1 5508
"60" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 5 9 "botsy" 0 -1 0 2 1 24 10 7 23 5 6 5 1 955 0 20 "botuyn" -1 1773
"61" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 0 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 1675 0 13 "kiwehon" 0 1438
"62" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 1 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 2594 0 15 "hiwawa" 0 2070
"63" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 2 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 0 2226 0 14 "uwimor" -1 2989
"64" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 3 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 1066 0 14 "uwimor" -1 1982
"65" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 4 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 1074 0 1 "tewok" -1 3389
"66" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 5 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 1323 0 16 "jaciyn" 0 10926
"67" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 6 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 898 0 6 "nalber" 1 2773
"68" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 7 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 866 0 14 "uwimor" -1 3253
"69" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 8 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 2201 0 13 "kiwehon" 0 1861
"70" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 6 9 "nalber" 0 -1 0 2 9 13 5 15 19 6 6 5 1 1002 0 17 "laumens" 0 1629
"71" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 0 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 0 1123 0 3 "noste" 0 4038
"72" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 1 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 2034 0 16 "jaciyn" 0 1835
"73" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 2 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 1146 0 1 "tewok" -1 2884
"74" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 3 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 821 0 10 "sleshen" -1 2069
"75" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 4 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 1242 0 8 "ubajec" -1 13365
"76" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 5 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 883 0 16 "jaciyn" 0 1119
"77" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 6 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 1194 0 15 "hiwawa" 0 3277
"78" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 7 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 1123 0 1 "tewok" -1 12964
"79" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 8 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 1649 0 3 "noste" 0 4632
"80" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 7 9 "obacu" 0 -1 0 2 12 3 16 0 8 5 4 5 1 802 0 10 "sleshen" -1 11958
"81" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 0 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1554 0 12 "hilejin" 0 5701
"82" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 1 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1202 0 4 "medan" 0 5620
"83" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 2 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1458 0 8 "ubajec" 1 9780
"84" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 3 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1105 0 8 "ubajec" 1 5646
"85" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 4 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1242 0 7 "obacu" 0 1806
"86" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 5 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1459 0 8 "ubajec" 1 2253
"87" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 6 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1058 0 8 "ubajec" 1 4934
"88" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 7 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1163 0 8 "ubajec" 1 2711
"89" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 8 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 1171 0 8 "ubajec" 1 2405
"90" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 8 9 "ubajec" 0 -1 0 3 21 17 2 6 4 2 1 2 1 586 0 8 "ubajec" 1 780
"91" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 0 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 1427 0 9 "yosud" 1 3798
"92" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 1 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 1954 0 16 "jaciyn" 0 2958
"93" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 2 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 1722 0 16 "jaciyn" 0 2757
"94" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 3 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 1257 0 9 "yosud" 1 2877
"95" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 4 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 1147 0 9 "yosud" 1 3549
"96" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 5 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 1322 0 9 "yosud" 1 3566
"97" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 6 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 866 0 9 "yosud" 1 3735
"98" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 7 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 947 0 9 "yosud" 1 2188
"99" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 8 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 994 0 9 "yosud" 1 813
"100" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 9 9 "yosud" 0 -1 0 3 18 14 20 22 11 4 3 3 1 778 0 9 "yosud" 1 1221
"101" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 0 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1698 0 10 "sleshen" 1 1797
"102" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 1 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1218 0 10 "sleshen" 1 3749
"103" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 2 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1146 0 11 "schese" 0 4814
"104" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 3 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 995 0 10 "sleshen" 1 3894
"105" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 4 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1474 0 10 "sleshen" 1 1607
"106" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 5 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1266 0 10 "sleshen" 1 7565
"107" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 6 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1154 0 10 "sleshen" 1 1117
"108" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 7 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1179 0 10 "sleshen" 1 1829
"109" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 8 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1978 0 10 "sleshen" 1 2334
"110" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 10 9 "sleshen" 0 -1 0 3 21 16 2 24 4 5 5 5 1 1818 0 10 "sleshen" 1 1269
"111" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 0 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 1410 0 11 "schese" 1 3053
"112" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 1 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 2450 0 10 "sleshen" -1 2583
"113" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 2 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 922 0 11 "schese" 1 4687
"114" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 3 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 1170 0 11 "schese" 1 3116
"115" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 4 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 1698 0 11 "schese" 1 3502
"116" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 5 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 1250 0 10 "sleshen" -1 1790
"117" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 6 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 1210 0 11 "schese" 1 948
"118" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 7 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 1139 0 11 "schese" 1 1557
"119" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 8 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 706 0 11 "schese" 1 941
"120" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 11 9 "schese" 0 -1 0 3 3 7 1 5 15 4 3 5 1 1209 0 11 "schese" 1 1405
"121" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 0 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 1 1266 0 22 "umeuken" -1 6485
"122" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 1 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 954 0 6 "nalber" -1 3085
"123" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 2 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 1 866 0 18 "molkate" -1 2621
"124" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 3 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 914 0 15 "hiwawa" -1 2263
"125" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 4 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 586 0 22 "umeuken" -1 4445
"126" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 5 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 954 0 1 "tewok" -1 2837
"127" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 6 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 914 0 16 "jaciyn" -1 1382
"128" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 7 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 818 0 22 "umeuken" -1 3277
"129" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 8 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 682 0 18 "molkate" -1 1173
"130" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 12 9 "hilejin" 0 -1 1 1 4 12 22 16 11 3 3 3 0 761 0 6 "nalber" -1 1046
"131" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 0 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 995 0 6 "nalber" -1 2293
"132" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 1 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 10083 0 17 "laumens" -1 2957
"133" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 2 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 1 770 0 10 "sleshen" -1 1862
"134" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 3 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 891 0 5 "botsy" 0 1885
"135" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 4 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 867 0 23 "pimuide" -1 5021
"136" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 5 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 1147 0 14 "uwimor" -1 2333
"137" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 6 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 1 1195 0 11 "schese" -1 1118
"138" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 7 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 786 0 3 "noste" -1 1143
"139" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 8 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 1419 0 4 "medan" -1 1093
"140" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 13 9 "kiwehon" 0 -1 1 1 6 18 3 19 2 5 4 5 0 794 0 16 "jaciyn" 0 972
"141" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 0 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 1874 0 3 "noste" 0 2941
"142" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 1 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 730 0 16 "jaciyn" 0 1988
"143" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 2 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 1402 0 6 "nalber" 0 1637
"144" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 3 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 1643 0 10 "sleshen" 0 2173
"145" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 4 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 1890 0 11 "schese" 0 3629
"146" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 5 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 763 0 16 "jaciyn" 0 686
"147" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 6 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 1042 0 6 "nalber" 0 870
"148" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 7 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 850 0 2 "larnist" 0 1871
"149" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 8 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 1955 0 23 "pimuide" 0 8094
"150" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 14 9 "uwimor" 0 -1 1 1 17 8 20 13 1 4 4 4 0 979 0 9 "yosud" -1 1086
"151" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 15 0 "hiwawa" 0 -1 1 1 7 24 23 9 15 3 3 3 0 1218 0 17 "laumens" -1 2214
"152" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 15 1 "hiwawa" 0 -1 1 1 7 24 23 9 15 3 3 3 0 977 0 17 "laumens" -1 3557
"153" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 15 2 "hiwawa" 0 -1 1 1 7 24 23 9 15 3 3 3 0 970 0 6 "nalber" -1 1636
"154" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 15 3 "hiwawa" 0 -1 1 1 7 24 23 9 15 3 3 3 0 954 0 18 "molkate" -1 1420
